concept_id,candidate_rank,target_domain,categories,plan_json,recommendation_score,reason,uncertainties,status,review_required,provenance,group_id
DM_CORE,1,DM,direct_assignment | field_combination,"{""steps"":[]}",0.32,直接来源足以支持 STUDYID、SUBJID 和固定值 DOMAIN，但无法在不猜测的情况下完成该核心概念的全部目标变量。,USUBJID 的批准组合格式及分隔符未提供。; SITEID 没有已声明的直接来源或经批准的抽取规则。,needs_information,TRUE,codex_subagent,dm_connected_01
DM_REFERENCE_START,1,DM,source_integration | field_combination | date_time_conversion | conditional_derivation,"{""steps"":[]}",0.18,RFSTDTC 所需的日期解释和跨来源记录选择规则尚未确定，不能选择满足前置条件的登记函数。,ex_a_raw.EXSTDAT 的月日年与日月年格式存在歧义。; 尚未确认应从两个暴露来源中选择最早还是最晚日期时间。; derive_reference_datetime 所需的受试者键未包含在该概念的 source_refs 中。,needs_information,TRUE,codex_subagent,dm_connected_01
DM_CONSENT,1,DM,date_time_conversion,"{""steps"":[]}",0.24,RFICDTC 需要明确的日期格式后才能使用登记的 ISO 8601 日期转换函数。,dm_subject.IC_DT 的来源元数据仍将格式标记为月日年或日月年，未满足无歧义日期格式前置条件。,needs_information,TRUE,codex_subagent,dm_connected_01
DM_DEMOGRAPHICS,1,DM,direct_assignment | character_normalization | controlled_terminology,"{""steps"":[{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_subject.AGE""],""target_variables"":[""AGE""],""parameters"":{}},{""transform_id"":""hardcode_ct"",""source_keys"":[],""target_variables"":[""AGEU""],""parameters"":{""value"":""YEARS"",""codelist_id"":""AGEU""}},{""transform_id"":""assign_ct"",""source_keys"":[""dm_subject.SEX""],""target_variables"":[""SEX""],""parameters"":{""codelist_id"":""SEX""}},{""transform_id"":""assign_ct"",""source_keys"":[""dm_subject.ETHNIC""],""target_variables"":[""ETHNIC""],""parameters"":{""codelist_id"":""ETHNIC""}},{""transform_id"":""assign_ct"",""source_keys"":[""dm_subject.RACE""],""target_variables"":[""RACE""],""parameters"":{""codelist_id"":""RACE""}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_subject.COUNTRY""],""target_variables"":[""COUNTRY""],""parameters"":{}}]}",0.99,年龄和国家保持来源语义直接赋值，年龄单位使用登记术语常量，性别、族裔和种族使用现有受控术语表完成映射。,,proposed,TRUE,codex_subagent,dm_connected_01
DM_TREATMENT,1,DM,direct_assignment,"{""steps"":[{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_subject.PLANNED_ARMCD""],""target_variables"":[""ARMCD""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_subject.PLANNED_ARM""],""target_variables"":[""ARM""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_subject.ACTUAL_ARMCD""],""target_variables"":[""ACTARMCD""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_subject.ACTUAL_ARM""],""target_variables"":[""ACTARM""],""parameters"":{}}]}",0.99,计划和实际治疗组的代码与描述均有语义一致的一对一来源，可使用非受控术语直接赋值。,,proposed,TRUE,codex_subagent,dm_connected_01
VS_CORE,1,VS,source_integration | direct_assignment | field_combination | date_time_conversion | character_normalization | controlled_terminology | record_transposition | temporal_derivation,"{""steps"":[]}",0.42,无法形成覆盖核心目标变量的确定性方案。DM_REFERENCE_START 的来源、连接键和基数关系未提供，USUBJID 的批准连接符未提供，且时间示例包含秒而格式候选仅为 H:M。,需确认 DM_REFERENCE_START 所在数据集及参考日期变量。; 需登记 VS 与 DM 的连接键和连接基数。; 需确认 USUBJID 的组成格式及连接符。; 需确认 VSTIM 应按 H:M 还是包含秒的格式解释。,needs_information,TRUE,codex_subagent,vs_connected_01
VS_HEIGHT,1,VS,direct_assignment | controlled_terminology | record_transposition | unit_conversion,"{""steps"":[{""transform_id"":""transpose_findings"",""source_keys"":[""vs_mixed.HEIGHT"",""vs_mixed.HEIGHTU""],""target_variables"":[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""],""parameters"":{""test_code"":""HEIGHT"",""test_name"":""Height"",""original_unit"":null,""unit_source"":""HEIGHTU""}},{""transform_id"":""standardize_unit"",""source_keys"":[""vs_mixed.HEIGHT"",""vs_mixed.HEIGHTU""],""target_variables"":[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""],""parameters"":{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""cm""}}]}",0.98,将身高结果及动态原始单位展开为一条 Findings 记录，并使用已登记换算集合将 in 和 cm 统一为 cm。,,proposed,TRUE,codex_subagent,vs_connected_01
VS_WEIGHT,1,VS,direct_assignment | controlled_terminology | record_transposition | unit_conversion,"{""steps"":[{""transform_id"":""transpose_findings"",""source_keys"":[""vs_mixed.WEIGHT"",""vs_mixed.WEIGHTU""],""target_variables"":[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""],""parameters"":{""test_code"":""WEIGHT"",""test_name"":""Weight"",""original_unit"":null,""unit_source"":""WEIGHTU""}},{""transform_id"":""standardize_unit"",""source_keys"":[""vs_mixed.WEIGHT"",""vs_mixed.WEIGHTU""],""target_variables"":[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""],""parameters"":{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""kg""}}]}",0.98,将体重结果及动态原始单位展开为一条 Findings 记录，并使用已登记换算集合将 lb 和 kg 统一为 kg。,,proposed,TRUE,codex_subagent,vs_connected_01
VS_TEMP,1,VS,direct_assignment | controlled_terminology | record_transposition | unit_conversion,"{""steps"":[{""transform_id"":""transpose_findings"",""source_keys"":[""vs_mixed.TEMP"",""vs_mixed.TEMPU""],""target_variables"":[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""],""parameters"":{""test_code"":""TEMP"",""test_name"":""Temperature"",""original_unit"":null,""unit_source"":""TEMPU""}},{""transform_id"":""standardize_unit"",""source_keys"":[""vs_mixed.TEMP"",""vs_mixed.TEMPU""],""target_variables"":[""VSSTRESC"",""VSSTRESN"",""VSSTRESU""],""parameters"":{""conversion_set_id"":""vs_standard_v1"",""target_unit"":""C""}}]}",0.98,将体温结果及动态原始单位展开为一条 Findings 记录，并使用已登记换算集合将 F 和 C 统一为 C。,,proposed,TRUE,codex_subagent,vs_connected_01
VS_SYSBP,1,VS,direct_assignment | controlled_terminology | record_transposition,"{""steps"":[{""transform_id"":""assign_no_ct"",""source_keys"":[""vs_mixed.SYS_BP""],""target_variables"":[""VSSTRESC""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""vs_mixed.SYS_BP""],""target_variables"":[""VSSTRESN""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""vs_mixed.SYS_BPU""],""target_variables"":[""VSSTRESU""],""parameters"":{}},{""transform_id"":""transpose_findings"",""source_keys"":[""vs_mixed.SYS_BP"",""vs_mixed.SYS_BPU""],""target_variables"":[""VSTESTCD"",""VSTEST"",""VSORRES"",""VSORRESU""],""parameters"":{""test_code"":""SYSBP"",""test_name"":""Systolic Blood Pressure"",""original_unit"":null,""unit_source"":""SYS_BPU""}}]}",0.95,收缩压结果仅使用 mmHg，可直接生成相同语义的标准结果和单位，并将横向结果展开为收缩压记录。,,proposed,TRUE,codex_subagent,vs_connected_01
