mapping_id,candidate_rank,source_dataset,source_variable,target_domain,target_variable,target_value,mapping_type,transform_id,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance
DM001,1,dm_raw,STUDY,DM,STUDYID,,direct,direct_map,{},1,STUDY 直接映射为 SDTM DM 中的 STUDYID，无转换。,无,FALSE,model
DM003,1,dm_raw,STUDY | PATNUM,DM,USUBJID,,combine,combine_fields,"{""fields"":[""STUDY"",""PATNUM""],""separator"":""-""}",0.95,USUBJID 通常由 STUDYID 和 Subject Identifier 组合而成，此处将 STUDY 与 PATNUM 拼接形成唯一标识。,PATNUM 可能已包含站点信息，拼接方式需确认；USUBJID 标准格式可能要求 STUDY-SITE-SUBJECT，但无 SITEID 字段，故直接拼接。,TRUE,model
DM004,1,dm_raw,PATNUM,DM,SUBJID,,direct,direct_map,{},0.9,PATNUM 为受试者编号，映射为 DM.SUBJID。,若 PATNUM 为完整 USUBJID，则需映射到 USUBJID；但考虑到 DM003 已用 PATNUM 拼接 USUBJID，此处更适合作为 SUBJID。,FALSE,model
DM005,1,dm_raw,FIRST_DOSE_DT,DM,RFSTDTC,,date_conversion,to_iso8601_date,"{""input_format"":""MM/DD/YYYY""}",1,首次给药日期转换为 ISO 8601 格式，作为参考开始日期 RFSTDTC。,日期格式假设为 MM/DD/YYYY，需确认。,FALSE,model
DM006,1,dm_raw,IC_DT,DM,RFICDTC,,date_conversion,to_iso8601_date,"{""source_format"":""MM/DD/YYYY""}",0.98,Informed consent date maps to DM.RFICDTC; convert to ISO 8601.,None; date format observed as MM/DD/YYYY.,FALSE,model
DM017,1,dm_raw,PATNUM,DM,USUBJID,,custom,derive_usubjid,"{""subject_identifier"":""PATNUM"",""study_variable"":""STUDY""}",0.9,PATNUM appears to contain site-subject combination; derive USUBJID using STUDY and PATNUM pattern.,USUBJID format not fully specified; PATNUM may already be unique but lacks STUDYID.,TRUE,model
DM017,2,dm_raw,PATNUM,DM,USUBJID,,combine,combine_fields,"{""fields"":[""STUDY"",""PATNUM""],""separator"":""-""}",0.85,Combine STUDY and PATNUM to form USUBJID.,Assumes USUBJID = STUDYID-PATNUM.,TRUE,model
DM017,3,dm_raw,PATNUM,DM,SUBJID,,custom,custom_transform,"{""logic"":""extract substring after last '-' from PATNUM""}",0.6,PATNUM may embed site ID and subject ID; SUBJID could be the part after hyphen.,Unclear if SUBJID should exclude site; may require validation.,TRUE,model
DM007,1,dm_raw,IT.AGE,DM,AGE,,direct,direct_map,{},0.99,Direct mapping of Age to DM.AGE.,None.,FALSE,model
DM009,1,dm_raw,IT.SEX,DM,SEX,,controlled_term,map_controlled_term,"{""mapping"":{""Female"":""F"",""Male"":""M""}}",0.98,Standard SDTM SEX codelist requires mapping to F/M.,Confirm codelist version permits 'Unknown' if present; observed values are Female/Male.,FALSE,model
DM010,1,dm_raw,IT.ETHNIC,DM,ETHNIC,,controlled_term,map_controlled_term,{},95,Ethnicity data maps directly to SDTM DM.ETHNIC; source values align with CDISC controlled terminology after case normalization.,Source value categories may require exact mapping to CDISC code list; verify spelling and case.,FALSE,model
DM011,1,dm_raw,IT.RACE,DM,RACE,,controlled_term,map_controlled_term,{},95,Race data maps directly to SDTM DM.RACE; source values align with CDISC controlled terminology after case normalization.,Source value categories may require exact mapping to CDISC code list; verify spelling and case.,FALSE,model
DM012,1,dm_raw,COUNTRY,DM,COUNTRY,,direct,direct_map,{},95,"Country codes (USA, CAN, GBR) conform to ISO 3166-1 alpha-3 standard used by SDTM DM.COUNTRY.",,FALSE,model
DM013,1,dm_raw,PLANNED_ARMCD,DM,ARMCD,,direct,direct_map,{},90,Planned treatment arm code maps directly to SDTM DM.ARMCD; source values are already in short code format.,"Verify that PBO and TRT10 are appropriate standardized codes for the study; if not, controlled terminology mapping may be needed.",FALSE,model
DM014,1,dm_raw,PLANNED_ARM,DM,ARM,,direct,direct_map,{},95,"The source variable PLANNED_ARM contains the planned treatment arm description, which directly maps to the SDTM DM.ARM variable.",The source value 'Trace Drug 10 mg' may not match the sponsor-defined SDTM ARM codelist; verify terminology.,FALSE,model
DM015,1,dm_raw,ACTUAL_ARMCD,DM,ACTARMCD,,direct,direct_map,{},95,"The source variable ACTUAL_ARMCD contains the actual treatment arm code, which directly maps to the SDTM DM.ACTARMCD variable.",,FALSE,model
DM016,1,dm_raw,ACTUAL_ARM,DM,ACTARM,,direct,direct_map,{},95,"The source variable ACTUAL_ARM contains the actual treatment arm description, which directly maps to the SDTM DM.ACTARM variable.",The source value 'Trace Drug 10 mg' may not match the sponsor-defined SDTM ACTARM codelist; verify terminology.,FALSE,model
AE001,1,ae_raw,STUDY,AE,STUDYID,,direct,direct_map,{},95,"The source variable STUDY contains the study identifier, which directly maps to the SDTM AE.STUDYID variable.",,FALSE,model
AE003,1,ae_raw,STUDY | PATNUM,AE,USUBJID,,combine,combine_fields,"{""fields"":[""STUDY"",""PATNUM""],""separator"":""-""}",90,Combine study identifier and subject identifier to create unique subject identifier for AE domain.,Assumed separator hyphen; may need confirmation from study specs.,TRUE,model
AE003,2,ae_raw,STUDY | PATNUM,DM,USUBJID,,combine,combine_fields,"{""fields"":[""STUDY"",""PATNUM""],""separator"":""-""}",80,Alternative to map combined identifier to DM.USUBJID for subject-level data.,Same as rank 1 but domain choice differs.,TRUE,model
AE003,3,ae_raw,STUDY | PATNUM,AE,STUDYID,,direct,direct_map,"{""source_variable"":""STUDY""}",50,"Direct mapping of study identifier, but does not use PATNUM.",Incomplete use of source variables; likely not intended.,TRUE,model
AE005,1,ae_raw,IT.AETERM,AE,AETERM,,direct,direct_map,"{""source_variable"":""IT.AETERM""}",95,Reported adverse event term maps directly to AETERM.,None.,FALSE,model
AE006,1,ae_raw,AEDECOD,AE,AEDECOD,,direct,direct_map,"{""source_variable"":""AEDECOD""}",95,Coded adverse event term maps directly to AEDECOD.,None.,FALSE,model
AE007,1,ae_raw,AEBODSYS,AE,AEBODSYS,,direct,direct_map,"{""source_variable"":""AEBODSYS""}",95,Adverse event body system maps directly to AEBODSYS.,None.,FALSE,model
AE008,1,ae_raw,IT.AESEV,AE,AESEV,,controlled_term,map_controlled_term,"{""mapping"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",0.95,Standard mapping from AE severity variable to SDTM AE.AESEV using controlled terminology.,Confirm complete list of source values and exact target CDISC terminology for severity.,TRUE,model
AE009,1,ae_raw,IT.AESER,AE,AESER,,controlled_term,map_controlled_term,"{""mapping"":{""No"":""N"",""Yes"":""Y""}}",0.98,Serious event indicator maps directly to AE.AESER with standard Y/N values.,No significant uncertainties; verify source values are only 'No' and 'Yes'.,FALSE,model
AE010,1,ae_raw,IT.AEREL,AE,AEREL,,controlled_term,map_controlled_term,"{""mapping"":{""Not Related"":""NOT RELATED"",""Unlikely Related"":""UNLIKELY RELATED"",""Possibly Related"":""POSSIBLY RELATED"",""Probably Related"":""PROBABLY RELATED""}}",0.85,Causality variable maps to AE.AEREL with standardized relationship terminology.,"CDISC standard codelist for AEREL may vary; confirm exact terms (e.g., whether 'UNLIKELY RELATED' is accepted or should map to 'NOT RELATED').",TRUE,model
AE011,1,ae_raw,AEOUTCOME,AE,AEOUT,,controlled_term,map_controlled_term,"{""mapping"":{""Recovered/Resolved"":""RECOVERED/RESOLVED"",""Not Recovered/not Resolved"":""NOT RECOVERED/NOT RESOLVED"",""Recovering/Resolving"":""RECOVERING/RESOLVING""}}",0.95,Outcome variable maps directly to AE.AEOUT using standard outcome terminology.,Confirm all possible outcome values; compare with CDISC codelist for AEOUT.,TRUE,model
AE012,1,ae_raw,IT.AESTDAT,AE,AESTDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event start date maps directly to SDTM AE AESTDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model
AE012,2,ae_raw,IT.AESTDAT,AE,AESTDY,,custom,derive_study_day,"{""reference_variable"":""RFSTDTC"",""date_format"":""dd/mm/yyyy""}",70,Alternative to derive study day from start date relative to subject reference start date.,"Requires reference start date variable from DM domain; if not available, this mapping is not applicable.",TRUE,model
AE013,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event end date maps directly to SDTM AE AEENDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model
AE013,2,ae_raw,IT.AEENDAT,AE,AEENDY,,custom,derive_study_day,"{""reference_variable"":""RFSTDTC"",""date_format"":""dd/mm/yyyy""}",70,Alternative to derive study day from end date relative to subject reference start date.,"Requires reference start date variable from DM domain; if not available, this mapping is not applicable.",TRUE,model
AE014,1,ae_raw,IT.AESHOSP,AE,AESHOSP,,controlled_term,map_controlled_term,"{""mapping"":{""Yes"":""Y"",""No"":""N""}}",95,Hospitalization seriousness criterion maps directly to SDTM AE AESHOSP with controlled terminology.,,FALSE,model
AE015,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event end date maps directly to SDTM AE AEENDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model
AE015,2,ae_raw,IT.AEENDAT,AE,AEENDY,,custom,derive_study_day,"{""reference_variable"":""RFSTDTC"",""date_format"":""dd/mm/yyyy""}",70,Alternative to derive study day from end date relative to subject reference start date.,"Requires reference start date variable from DM domain; if not available, this mapping is not applicable.",TRUE,model
VS001,1,vs_raw,STUDY,VS,STUDYID,,direct,direct_map,{},0.95,"STUDY field directly maps to STUDYID in the VS domain, which is required for all SDTM domains.",,FALSE,model
VS001,2,vs_raw,STUDY,DM,STUDYID,,direct,direct_map,{},0.6,"STUDY could also populate DM.STUDYID if this source is used to derive DM domain, but VS domain is more directly related.",Whether DM domain is expected from vs_raw is unclear.,TRUE,model
