mapping_id,candidate_rank,source_dataset,source_variable,target_domain,target_variable,target_value,mapping_type,transform_id,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance,decision,final_domain,final_variable,final_value,final_transform_id,final_parameters,review_comment
AE001,1,ae_raw,STUDY,AE,STUDYID,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE003,1,ae_raw,STUDY | PATNUM,AE,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE005,1,ae_raw,IT.AETERM,AE,AETERM,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE006,1,ae_raw,AEDECOD,AE,AEDECOD,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE007,1,ae_raw,AEBODSYS,AE,AEBODSYS,,custom,custom_transform,"{""name"":""uppercase""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE008,1,ae_raw,IT.AESEV,AE,AESEV,,controlled_term,map_controlled_term,"{""terms"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE009,1,ae_raw,IT.AESER,AE,AESER,,controlled_term,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE010,1,ae_raw,IT.AEREL,AE,AEREL,,controlled_term,map_controlled_term,"{""terms"":{""Probably Related"":""PROBABLE"",""Possibly Related"":""POSSIBLE"",""Unlikely Related"":""UNLIKELY"",""Not Related"":""NOT RELATED""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE011,1,ae_raw,AEOUTCOME,AE,AEOUT,,controlled_term,map_controlled_term,"{""terms"":{""Recovered/Resolved"":""RECOVERED/RESOLVED"",""Recovering/Resolving"":""RECOVERING/RESOLVING"",""Not Recovered/not Resolved"":""NOT RECOVERED/NOT RESOLVED"",""Fatal"":""FATAL"",""Unknown"":""UNKNOWN""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE012,1,ae_raw,IT.AESTDAT,AE,AESTDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE013,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE014,1,ae_raw,IT.AESHOSP,AE,AESHOSP,,controlled_term,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
AE015,1,ae_raw,IT.AEENDAT,AE,AEENRF,,custom,custom_transform,"{""name"":""ongoing_if_missing""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM001,1,dm_raw,STUDY,DM,STUDYID,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM003,1,dm_raw,STUDY | PATNUM,DM,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM004,1,dm_raw,PATNUM,DM,SUBJID,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
