mapping_id,candidate_rank,source_dataset,source_variable,target_domain_recommended,target_variable_recommended,target_value_recommended,mapping_type,transform_id_recommended,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance,target_domain_gold,target_variable_gold,target_value_gold,transform_id_gold,difficulty,mapping_type_gold,transform_parameters_gold,correct,mapping_type_correct,transform_parameters_correct,exact_correct
DM001,1,dm_raw,STUDY,DM,STUDYID,,direct,direct_map,{},1,STUDY 直接映射为 SDTM DM 中的 STUDYID，无转换。,无,FALSE,model,DM,STUDYID,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
DM003,1,dm_raw,STUDY | PATNUM,DM,USUBJID,,combine,combine_fields,"{""fields"":[""STUDY"",""PATNUM""],""separator"":""-""}",0.95,USUBJID 通常由 STUDYID 和 Subject Identifier 组合而成，此处将 STUDY 与 PATNUM 拼接形成唯一标识。,PATNUM 可能已包含站点信息，拼接方式需确认；USUBJID 标准格式可能要求 STUDY-SITE-SUBJECT，但无 SITEID 字段，故直接拼接。,TRUE,model,DM,USUBJID,,derive_usubjid,derived,combine,"{""separator"":""-""}",FALSE,TRUE,FALSE,FALSE
DM004,1,dm_raw,PATNUM,DM,SUBJID,,direct,direct_map,{},0.9,PATNUM 为受试者编号，映射为 DM.SUBJID。,若 PATNUM 为完整 USUBJID，则需映射到 USUBJID；但考虑到 DM003 已用 PATNUM 拼接 USUBJID，此处更适合作为 SUBJID。,FALSE,model,DM,SUBJID,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
DM005,1,dm_raw,FIRST_DOSE_DT,DM,RFSTDTC,,date_conversion,to_iso8601_date,"{""input_format"":""MM/DD/YYYY""}",1,首次给药日期转换为 ISO 8601 格式，作为参考开始日期 RFSTDTC。,日期格式假设为 MM/DD/YYYY，需确认。,FALSE,model,DM,RFSTDTC,,to_iso8601_date,date,date_conversion,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",TRUE,TRUE,FALSE,FALSE
DM006,1,dm_raw,IC_DT,DM,RFICDTC,,date_conversion,to_iso8601_date,"{""source_format"":""MM/DD/YYYY""}",0.98,Informed consent date maps to DM.RFICDTC; convert to ISO 8601.,None; date format observed as MM/DD/YYYY.,FALSE,model,DM,RFICDTC,,to_iso8601_date,date,date_conversion,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",TRUE,TRUE,FALSE,FALSE
DM017,1,dm_raw,PATNUM,DM,USUBJID,,custom,derive_usubjid,"{""subject_identifier"":""PATNUM"",""study_variable"":""STUDY""}",0.9,PATNUM appears to contain site-subject combination; derive USUBJID using STUDY and PATNUM pattern.,USUBJID format not fully specified; PATNUM may already be unique but lacks STUDYID.,TRUE,model,DM,SITEID,,custom_transform,derived,custom,"{""name"":""extract_siteid""}",FALSE,TRUE,FALSE,FALSE
DM007,1,dm_raw,IT.AGE,DM,AGE,,direct,direct_map,{},0.99,Direct mapping of Age to DM.AGE.,None.,FALSE,model,DM,AGE,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
DM009,1,dm_raw,IT.SEX,DM,SEX,,controlled_term,map_controlled_term,"{""mapping"":{""Female"":""F"",""Male"":""M""}}",0.98,Standard SDTM SEX codelist requires mapping to F/M.,Confirm codelist version permits 'Unknown' if present; observed values are Female/Male.,FALSE,model,DM,SEX,,map_controlled_term,controlled_term,controlled_term,"{""terms"":{""Female"":""F"",""Male"":""M"",""Unknown"":""U""}}",TRUE,TRUE,FALSE,FALSE
DM010,1,dm_raw,IT.ETHNIC,DM,ETHNIC,,controlled_term,map_controlled_term,{},95,Ethnicity data maps directly to SDTM DM.ETHNIC; source values align with CDISC controlled terminology after case normalization.,Source value categories may require exact mapping to CDISC code list; verify spelling and case.,FALSE,model,DM,ETHNIC,,map_controlled_term,controlled_term,controlled_term,"{""terms"":{""Hispanic or Latino"":""HISPANIC OR LATINO"",""Not Hispanic or Latino"":""NOT HISPANIC OR LATINO"",""Unknown"":""UNKNOWN"",""Not Reported"":""NOT REPORTED""}}",TRUE,TRUE,FALSE,FALSE
DM011,1,dm_raw,IT.RACE,DM,RACE,,controlled_term,map_controlled_term,{},95,Race data maps directly to SDTM DM.RACE; source values align with CDISC controlled terminology after case normalization.,Source value categories may require exact mapping to CDISC code list; verify spelling and case.,FALSE,model,DM,RACE,,map_controlled_term,controlled_term,controlled_term,"{""terms"":{""White"":""WHITE"",""Asian"":""ASIAN"",""Black or African American"":""BLACK OR AFRICAN AMERICAN"",""American Indian or Alaska Native"":""AMERICAN INDIAN OR ALASKA NATIVE"",""Multiple"":""MULTIPLE"",""Unknown"":""UNKNOWN""}}",TRUE,TRUE,FALSE,FALSE
