mapping_id,candidate_rank,source_dataset,source_variable,target_domain,target_variable,target_value,mapping_type,transform_id,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance,decision,final_domain,final_variable,final_value,final_mapping_type,final_transform_id,final_parameters,review_comment
AE001,1,ae_raw,STUDY,AE,STUDYID,,direct,direct_map,{},95,"The source variable STUDY contains the study identifier, which directly maps to the SDTM AE.STUDYID variable.",,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
AE003,1,ae_raw,STUDY | PATNUM,AE,USUBJID,,combine,combine_fields,"{""fields"":[""STUDY"",""PATNUM""],""separator"":""-""}",90,Combine study identifier and subject identifier to create unique subject identifier for AE domain.,Assumed separator hyphen; may need confirmation from study specs.,TRUE,model,modify,AE,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",评价用金标准复核：修改 transform_id、transform_parameters。这不是法规意义上的独立专家签字。
AE005,1,ae_raw,IT.AETERM,AE,AETERM,,direct,direct_map,"{""source_variable"":""IT.AETERM""}",95,Reported adverse event term maps directly to AETERM.,None.,FALSE,model,modify,AE,AETERM,,direct,direct_map,[],评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE006,1,ae_raw,AEDECOD,AE,AEDECOD,,direct,direct_map,"{""source_variable"":""AEDECOD""}",95,Coded adverse event term maps directly to AEDECOD.,None.,FALSE,model,modify,AE,AEDECOD,,direct,direct_map,[],评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE007,1,ae_raw,AEBODSYS,AE,AEBODSYS,,direct,direct_map,"{""source_variable"":""AEBODSYS""}",95,Adverse event body system maps directly to AEBODSYS.,None.,FALSE,model,modify,AE,AEBODSYS,,custom,custom_transform,"{""name"":""uppercase""}",评价用金标准复核：修改 mapping_type、transform_id、transform_parameters。这不是法规意义上的独立专家签字。
AE008,1,ae_raw,IT.AESEV,AE,AESEV,,controlled_term,map_controlled_term,"{""mapping"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",0.95,Standard mapping from AE severity variable to SDTM AE.AESEV using controlled terminology.,Confirm complete list of source values and exact target CDISC terminology for severity.,TRUE,model,modify,AE,AESEV,,controlled_term,map_controlled_term,"{""terms"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE009,1,ae_raw,IT.AESER,AE,AESER,,controlled_term,map_controlled_term,"{""mapping"":{""No"":""N"",""Yes"":""Y""}}",0.98,Serious event indicator maps directly to AE.AESER with standard Y/N values.,No significant uncertainties; verify source values are only 'No' and 'Yes'.,FALSE,model,modify,AE,AESER,,controlled_term,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE010,1,ae_raw,IT.AEREL,AE,AEREL,,controlled_term,map_controlled_term,"{""mapping"":{""Not Related"":""NOT RELATED"",""Unlikely Related"":""UNLIKELY RELATED"",""Possibly Related"":""POSSIBLY RELATED"",""Probably Related"":""PROBABLY RELATED""}}",0.85,Causality variable maps to AE.AEREL with standardized relationship terminology.,"CDISC standard codelist for AEREL may vary; confirm exact terms (e.g., whether 'UNLIKELY RELATED' is accepted or should map to 'NOT RELATED').",TRUE,model,modify,AE,AEREL,,controlled_term,map_controlled_term,"{""terms"":{""Probably Related"":""PROBABLE"",""Possibly Related"":""POSSIBLE"",""Unlikely Related"":""UNLIKELY"",""Not Related"":""NOT RELATED""}}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE011,1,ae_raw,AEOUTCOME,AE,AEOUT,,controlled_term,map_controlled_term,"{""mapping"":{""Recovered/Resolved"":""RECOVERED/RESOLVED"",""Not Recovered/not Resolved"":""NOT RECOVERED/NOT RESOLVED"",""Recovering/Resolving"":""RECOVERING/RESOLVING""}}",0.95,Outcome variable maps directly to AE.AEOUT using standard outcome terminology.,Confirm all possible outcome values; compare with CDISC codelist for AEOUT.,TRUE,model,modify,AE,AEOUT,,controlled_term,map_controlled_term,"{""terms"":{""Recovered/Resolved"":""RECOVERED/RESOLVED"",""Recovering/Resolving"":""RECOVERING/RESOLVING"",""Not Recovered/not Resolved"":""NOT RECOVERED/NOT RESOLVED"",""Fatal"":""FATAL"",""Unknown"":""UNKNOWN""}}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE012,1,ae_raw,IT.AESTDAT,AE,AESTDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event start date maps directly to SDTM AE AESTDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model,modify,AE,AESTDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE013,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event end date maps directly to SDTM AE AEENDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model,modify,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE014,1,ae_raw,IT.AESHOSP,AE,AESHOSP,,controlled_term,map_controlled_term,"{""mapping"":{""Yes"":""Y"",""No"":""N""}}",95,Hospitalization seriousness criterion maps directly to SDTM AE AESHOSP with controlled terminology.,,FALSE,model,modify,AE,AESHOSP,,controlled_term,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
AE015,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event end date maps directly to SDTM AE AEENDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model,modify,AE,AEENRF,,custom,custom_transform,"{""name"":""ongoing_if_missing""}",评价用金标准复核：修改 target_variable、mapping_type、transform_id、transform_parameters。这不是法规意义上的独立专家签字。
DM001,1,dm_raw,STUDY,DM,STUDYID,,direct,direct_map,{},1,STUDY 直接映射为 SDTM DM 中的 STUDYID，无转换。,无,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
DM003,1,dm_raw,STUDY | PATNUM,DM,USUBJID,,combine,combine_fields,"{""fields"":[""STUDY"",""PATNUM""],""separator"":""-""}",0.95,USUBJID 通常由 STUDYID 和 Subject Identifier 组合而成，此处将 STUDY 与 PATNUM 拼接形成唯一标识。,PATNUM 可能已包含站点信息，拼接方式需确认；USUBJID 标准格式可能要求 STUDY-SITE-SUBJECT，但无 SITEID 字段，故直接拼接。,TRUE,model,modify,DM,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",评价用金标准复核：修改 transform_id、transform_parameters。这不是法规意义上的独立专家签字。
DM004,1,dm_raw,PATNUM,DM,SUBJID,,direct,direct_map,{},0.9,PATNUM 为受试者编号，映射为 DM.SUBJID。,若 PATNUM 为完整 USUBJID，则需映射到 USUBJID；但考虑到 DM003 已用 PATNUM 拼接 USUBJID，此处更适合作为 SUBJID。,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
DM005,1,dm_raw,FIRST_DOSE_DT,DM,RFSTDTC,,date_conversion,to_iso8601_date,"{""input_format"":""MM/DD/YYYY""}",1,首次给药日期转换为 ISO 8601 格式，作为参考开始日期 RFSTDTC。,日期格式假设为 MM/DD/YYYY，需确认。,FALSE,model,modify,DM,RFSTDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
DM006,1,dm_raw,IC_DT,DM,RFICDTC,,date_conversion,to_iso8601_date,"{""source_format"":""MM/DD/YYYY""}",0.98,Informed consent date maps to DM.RFICDTC; convert to ISO 8601.,None; date format observed as MM/DD/YYYY.,FALSE,model,modify,DM,RFICDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
DM007,1,dm_raw,IT.AGE,DM,AGE,,direct,direct_map,{},0.99,Direct mapping of Age to DM.AGE.,None.,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
DM009,1,dm_raw,IT.SEX,DM,SEX,,controlled_term,map_controlled_term,"{""mapping"":{""Female"":""F"",""Male"":""M""}}",0.98,Standard SDTM SEX codelist requires mapping to F/M.,Confirm codelist version permits 'Unknown' if present; observed values are Female/Male.,FALSE,model,modify,DM,SEX,,controlled_term,map_controlled_term,"{""terms"":{""Female"":""F"",""Male"":""M"",""Unknown"":""U""}}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
DM010,1,dm_raw,IT.ETHNIC,DM,ETHNIC,,controlled_term,map_controlled_term,{},95,Ethnicity data maps directly to SDTM DM.ETHNIC; source values align with CDISC controlled terminology after case normalization.,Source value categories may require exact mapping to CDISC code list; verify spelling and case.,FALSE,model,modify,DM,ETHNIC,,controlled_term,map_controlled_term,"{""terms"":{""Hispanic or Latino"":""HISPANIC OR LATINO"",""Not Hispanic or Latino"":""NOT HISPANIC OR LATINO"",""Unknown"":""UNKNOWN"",""Not Reported"":""NOT REPORTED""}}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
DM011,1,dm_raw,IT.RACE,DM,RACE,,controlled_term,map_controlled_term,{},95,Race data maps directly to SDTM DM.RACE; source values align with CDISC controlled terminology after case normalization.,Source value categories may require exact mapping to CDISC code list; verify spelling and case.,FALSE,model,modify,DM,RACE,,controlled_term,map_controlled_term,"{""terms"":{""White"":""WHITE"",""Asian"":""ASIAN"",""Black or African American"":""BLACK OR AFRICAN AMERICAN"",""American Indian or Alaska Native"":""AMERICAN INDIAN OR ALASKA NATIVE"",""Multiple"":""MULTIPLE"",""Unknown"":""UNKNOWN""}}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
DM012,1,dm_raw,COUNTRY,DM,COUNTRY,,direct,direct_map,{},95,"Country codes (USA, CAN, GBR) conform to ISO 3166-1 alpha-3 standard used by SDTM DM.COUNTRY.",,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
DM013,1,dm_raw,PLANNED_ARMCD,DM,ARMCD,,direct,direct_map,{},90,Planned treatment arm code maps directly to SDTM DM.ARMCD; source values are already in short code format.,"Verify that PBO and TRT10 are appropriate standardized codes for the study; if not, controlled terminology mapping may be needed.",FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
DM014,1,dm_raw,PLANNED_ARM,DM,ARM,,direct,direct_map,{},95,"The source variable PLANNED_ARM contains the planned treatment arm description, which directly maps to the SDTM DM.ARM variable.",The source value 'Trace Drug 10 mg' may not match the sponsor-defined SDTM ARM codelist; verify terminology.,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
DM015,1,dm_raw,ACTUAL_ARMCD,DM,ACTARMCD,,direct,direct_map,{},95,"The source variable ACTUAL_ARMCD contains the actual treatment arm code, which directly maps to the SDTM DM.ACTARMCD variable.",,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
DM016,1,dm_raw,ACTUAL_ARM,DM,ACTARM,,direct,direct_map,{},95,"The source variable ACTUAL_ARM contains the actual treatment arm description, which directly maps to the SDTM DM.ACTARM variable.",The source value 'Trace Drug 10 mg' may not match the sponsor-defined SDTM ACTARM codelist; verify terminology.,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
DM017,1,dm_raw,PATNUM,DM,USUBJID,,custom,derive_usubjid,"{""subject_identifier"":""PATNUM"",""study_variable"":""STUDY""}",0.9,PATNUM appears to contain site-subject combination; derive USUBJID using STUDY and PATNUM pattern.,USUBJID format not fully specified; PATNUM may already be unique but lacks STUDYID.,TRUE,model,modify,DM,SITEID,,custom,custom_transform,"{""name"":""extract_siteid""}",评价用金标准复核：修改 target_variable、transform_id、transform_parameters。这不是法规意义上的独立专家签字。
VS001,1,vs_raw,STUDY,VS,STUDYID,,direct,direct_map,{},0.95,"STUDY field directly maps to STUDYID in the VS domain, which is required for all SDTM domains.",,FALSE,model,accept,,,,,,,评价用金标准复核：候选与专家模板完全一致。
VS003,1,vs_raw,STUDY | PATNUM,VS,USUBJID,,combine,derive_usubjid,"{""study_field"":""STUDY"",""patient_field"":""PATNUM"",""separator"":""-""}",0.9,Combining STUDY and PATNUM with a hyphen yields a globally unique USUBJID in the VS domain.,,FALSE,model,modify,VS,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
VS005,1,vs_raw,VTLD,VS,VSDTC,,date_conversion,to_iso8601_date,"{""input_format"":""DD-Mon-YYYY""}",0.95,VTLD is the vital signs date; it maps directly to VSDTC after ISO8601 date conversion.,,FALSE,model,modify,VS,VSDTC,,date_conversion,to_iso8601_date,"{""formats"":[""dd-mmm-yyyy"",""m/d/y"",""y-m-d""]}",评价用金标准复核：修改 transform_parameters。这不是法规意义上的独立专家签字。
