concept_id,categories,classification_score,evidence,uncertainties,status,group_id,gold_categories,classification_correct
DM_CORE,direct_assignment | field_combination,1,专家金标准种子。,不是真实模型结果。,proposed,dm_connected_01,direct_assignment | field_combination,TRUE
DM_DATES,date_time_conversion,1,专家金标准种子。,不是真实模型结果。,proposed,dm_connected_01,date_time_conversion,TRUE
DM_DEMOGRAPHICS,direct_assignment | controlled_terminology,1,专家金标准种子。,不是真实模型结果。,proposed,dm_connected_01,direct_assignment | controlled_terminology,TRUE
DM_TREATMENT,direct_assignment,1,专家金标准种子。,不是真实模型结果。,proposed,dm_connected_01,direct_assignment,TRUE
AE_CORE,direct_assignment | field_combination,1,专家金标准种子。,不是真实模型结果。,proposed,ae_connected_01,direct_assignment | field_combination,TRUE
AE_TERMS,direct_assignment | character_normalization,1,专家金标准种子。,不是真实模型结果。,proposed,ae_connected_01,direct_assignment | character_normalization,TRUE
AE_SAFETY,controlled_terminology,1,专家金标准种子。,不是真实模型结果。,proposed,ae_connected_01,controlled_terminology,TRUE
AE_REL_OUTCOME,controlled_terminology,1,专家金标准种子。,不是真实模型结果。,proposed,ae_connected_01,controlled_terminology,TRUE
AE_DATES,date_time_conversion | conditional_derivation | temporal_derivation,1,专家金标准种子。,不是真实模型结果。,proposed,ae_connected_01,date_time_conversion | conditional_derivation | temporal_derivation,TRUE
AE_SEQUENCE,temporal_derivation,1,专家金标准种子。,不是真实模型结果。,proposed,ae_connected_01,temporal_derivation,TRUE
VS_CORE,direct_assignment | field_combination | date_time_conversion | controlled_terminology | temporal_derivation,1,专家金标准种子。,不是真实模型结果。,proposed,vs_connected_01,direct_assignment | field_combination | date_time_conversion | controlled_terminology | temporal_derivation,TRUE
VS_HEIGHT,record_transposition | unit_conversion,1,专家金标准种子。,不是真实模型结果。,proposed,vs_connected_01,record_transposition | unit_conversion,TRUE
VS_WEIGHT,record_transposition | unit_conversion,1,专家金标准种子。,不是真实模型结果。,proposed,vs_connected_01,record_transposition | unit_conversion,TRUE
VS_TEMP,record_transposition | unit_conversion,1,专家金标准种子。,不是真实模型结果。,proposed,vs_connected_01,record_transposition | unit_conversion,TRUE
VS_SYSBP,record_transposition | unit_conversion,1,专家金标准种子。,不是真实模型结果。,proposed,vs_connected_01,record_transposition | unit_conversion,TRUE
VS_DIABP,record_transposition | unit_conversion,1,专家金标准种子。,不是真实模型结果。,proposed,vs_connected_01,record_transposition | unit_conversion,TRUE
VS_PULSE,record_transposition | unit_conversion,1,专家金标准种子。,不是真实模型结果。,proposed,vs_connected_01,record_transposition | unit_conversion,TRUE
VS_POST_DERIVATIONS,temporal_derivation,1,专家金标准种子。,不是真实模型结果。,proposed,vs_connected_01,temporal_derivation,TRUE
