concept_id,candidate_rank,target_domain,categories,plan_json,recommendation_score,reason,uncertainties,status,review_required,provenance,group_id
DM_CORE,1,DM,direct_assignment | field_combination,"{""steps"":[{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_raw.STUDY""],""target_variables"":[""STUDYID""],""parameters"":{}},{""transform_id"":""hardcode_no_ct"",""source_keys"":[],""target_variables"":[""DOMAIN""],""parameters"":{""value"":""DM""}},{""transform_id"":""derive_usubjid"",""source_keys"":[""dm_raw.STUDY"",""dm_raw.PATNUM""],""target_variables"":[""USUBJID""],""parameters"":{""separator"":""-""}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_raw.PATNUM""],""target_variables"":[""SUBJID""],""parameters"":{}},{""transform_id"":""extract_delimited_part"",""source_keys"":[""dm_raw.PATNUM""],""target_variables"":[""SITEID""],""parameters"":{""separator"":""-"",""position"":1}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,dm_connected_01
DM_DATES,1,DM,date_time_conversion,"{""steps"":[{""transform_id"":""to_iso8601_date"",""source_keys"":[""dm_raw.FIRST_DOSE_DT""],""target_variables"":[""RFSTDTC""],""parameters"":{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}},{""transform_id"":""to_iso8601_date"",""source_keys"":[""dm_raw.IC_DT""],""target_variables"":[""RFICDTC""],""parameters"":{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,dm_connected_01
DM_DEMOGRAPHICS,1,DM,direct_assignment | controlled_terminology,"{""steps"":[{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_raw.IT.AGE""],""target_variables"":[""AGE""],""parameters"":{}},{""transform_id"":""hardcode_ct"",""source_keys"":[],""target_variables"":[""AGEU""],""parameters"":{""value"":""YEARS"",""codelist_id"":""AGEU""}},{""transform_id"":""assign_ct"",""source_keys"":[""dm_raw.IT.SEX""],""target_variables"":[""SEX""],""parameters"":{""codelist_id"":""SEX""}},{""transform_id"":""assign_ct"",""source_keys"":[""dm_raw.IT.ETHNIC""],""target_variables"":[""ETHNIC""],""parameters"":{""codelist_id"":""ETHNIC""}},{""transform_id"":""assign_ct"",""source_keys"":[""dm_raw.IT.RACE""],""target_variables"":[""RACE""],""parameters"":{""codelist_id"":""RACE""}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_raw.COUNTRY""],""target_variables"":[""COUNTRY""],""parameters"":{}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,dm_connected_01
DM_TREATMENT,1,DM,direct_assignment,"{""steps"":[{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_raw.PLANNED_ARMCD""],""target_variables"":[""ARMCD""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_raw.PLANNED_ARM""],""target_variables"":[""ARM""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_raw.ACTUAL_ARMCD""],""target_variables"":[""ACTARMCD""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""dm_raw.ACTUAL_ARM""],""target_variables"":[""ACTARM""],""parameters"":{}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,dm_connected_01
AE_CORE,1,AE,direct_assignment | field_combination,"{""steps"":[{""transform_id"":""assign_no_ct"",""source_keys"":[""ae_raw.STUDY""],""target_variables"":[""STUDYID""],""parameters"":{}},{""transform_id"":""hardcode_no_ct"",""source_keys"":[],""target_variables"":[""DOMAIN""],""parameters"":{""value"":""AE""}},{""transform_id"":""derive_usubjid"",""source_keys"":[""ae_raw.STUDY"",""ae_raw.PATNUM""],""target_variables"":[""USUBJID""],""parameters"":{""separator"":""-""}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,ae_connected_01
AE_TERMS,1,AE,direct_assignment | character_normalization,"{""steps"":[{""transform_id"":""assign_no_ct"",""source_keys"":[""ae_raw.IT.AETERM""],""target_variables"":[""AETERM""],""parameters"":{}},{""transform_id"":""assign_no_ct"",""source_keys"":[""ae_raw.AEDECOD""],""target_variables"":[""AEDECOD""],""parameters"":{}},{""transform_id"":""normalize_case"",""source_keys"":[""ae_raw.AEBODSYS""],""target_variables"":[""AEBODSYS""],""parameters"":{""case"":""upper""}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,ae_connected_01
AE_SAFETY,1,AE,controlled_terminology,"{""steps"":[{""transform_id"":""assign_ct"",""source_keys"":[""ae_raw.IT.AESEV""],""target_variables"":[""AESEV""],""parameters"":{""codelist_id"":""AESEV""}},{""transform_id"":""assign_ct"",""source_keys"":[""ae_raw.IT.AESER""],""target_variables"":[""AESER""],""parameters"":{""codelist_id"":""NY""}},{""transform_id"":""assign_ct"",""source_keys"":[""ae_raw.IT.AESHOSP""],""target_variables"":[""AESHOSP""],""parameters"":{""codelist_id"":""NY""}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,ae_connected_01
AE_REL_OUTCOME,1,AE,controlled_terminology,"{""steps"":[{""transform_id"":""assign_ct"",""source_keys"":[""ae_raw.IT.AEREL""],""target_variables"":[""AEREL""],""parameters"":{""codelist_id"":""AEREL""}},{""transform_id"":""assign_ct"",""source_keys"":[""ae_raw.AEOUTCOME""],""target_variables"":[""AEOUT""],""parameters"":{""codelist_id"":""AEOUT""}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,ae_connected_01
AE_DATES,1,AE,date_time_conversion | conditional_derivation | temporal_derivation,"{""steps"":[{""transform_id"":""to_iso8601_date"",""source_keys"":[""ae_raw.IT.AESTDAT""],""target_variables"":[""AESTDTC""],""parameters"":{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}},{""transform_id"":""to_iso8601_date"",""source_keys"":[""ae_raw.IT.AEENDAT""],""target_variables"":[""AEENDTC""],""parameters"":{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}},{""transform_id"":""derive_ongoing_flag"",""source_keys"":[""ae_raw.IT.AEENDAT""],""target_variables"":[""AEENRF""],""parameters"":{""ongoing_value"":""ONGOING"",""affirmative_values"":[""Y"",""Yes""]}},{""transform_id"":""derive_study_day"",""source_keys"":[],""target_variables"":[""AESTDY""],""parameters"":{""target_date"":""AESTDTC"",""reference_date"":""RFSTDTC""}},{""transform_id"":""derive_study_day"",""source_keys"":[],""target_variables"":[""AEENDY""],""parameters"":{""target_date"":""AEENDTC"",""reference_date"":""RFSTDTC""}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,ae_connected_01
AE_SEQUENCE,1,AE,temporal_derivation,"{""steps"":[{""transform_id"":""derive_sequence"",""source_keys"":[],""target_variables"":[""AESEQ""],""parameters"":{""record_variables"":[""STUDYID"",""USUBJID"",""AESTDTC"",""AETERM"",""AEDECOD"","".SOURCE_ROW""],""start_at"":1}}]}",1,专家金标准种子。,不是真实模型结果，不能用于评价模型准确率。,proposed,TRUE,reference_seed,ae_connected_01
