mapping_id,candidate_rank,source_dataset,source_variable,target_domain,target_variable,target_value,mapping_type,transform_id,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance
DM001,1,dm_raw,STUDY,DM,STUDYID,,direct,direct_map,{},1,The source variable STUDY contains the study identifier 'TRACE001' which directly maps to DM.STUDYID. No transformation is needed.,,FALSE,model
DM003,1,dm_raw,STUDY | PATNUM,DM,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",0.95,USUBJID is typically constructed by combining STUDYID and subject identifier. Combining STUDY and PATNUM with a '-' separator creates a unique subject identifier across studies.,"Potential double hyphen because PATNUM already contains a hyphen (e.g., '701-1001'), resulting in 'TRACE001-701-1001'. Confirm whether this format is acceptable.",TRUE,model
DM004,1,dm_raw,PATNUM,DM,SUBJID,,direct,direct_map,{},1,PATNUM represents the subject identifier within the study and can be directly mapped to DM.SUBJID.,,FALSE,model
DM005,1,dm_raw,FIRST_DOSE_DT,DM,RFSTDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,FIRST_DOSE_DT is the date of first dose and should be converted to ISO 8601 format for RFSTDTC.,,FALSE,model
DM006,1,dm_raw,IC_DT,DM,RFICDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,IC_DT is the informed consent date and should be converted to ISO 8601 format for RFICDTC.,,FALSE,model
DM017,1,dm_raw,PATNUM,DM,SITEID,,custom,custom_transform,"{""name"":""extract_siteid""}",0.9,"SITEID can be derived from PATNUM by extracting the site portion (e.g., '701' from '701-1001'). A custom transformation is appropriate.",Assumes the first part of PATNUM before the hyphen is the site ID. Verify that this pattern holds for all subjects.,TRUE,model
DM007,1,dm_raw,IT.AGE,DM,AGE,,direct,direct_map,{},1,"IT.AGE is already numeric and represents the subject's age, directly mapping to DM.AGE.",,FALSE,model
DM009,1,dm_raw,IT.SEX,DM,SEX,,controlled_term,map_controlled_term,"{""terms"":{""Female"":""F"",""Male"":""M"",""Unknown"":""U""}}",1,IT.SEX values map to standard SDTM sex codes using the provided controlled terminology.,,FALSE,model
DM010,1,dm_raw,IT.ETHNIC,DM,ETHNIC,,controlled_term,map_controlled_term,"{""terms"":{""Hispanic or Latino"":""HISPANIC OR LATINO"",""Not Hispanic or Latino"":""NOT HISPANIC OR LATINO"",""Unknown"":""UNKNOWN"",""Not Reported"":""NOT REPORTED""}}",0.93,Source ethnicity values are mapped to standard SDTM ETHNIC controlled terminology; mapping covers all observed values and is required for DM domain.,No uncertainty observed; values in source data align with provided mapping. Verify that no additional ethnicity categories appear in future data.,FALSE,model
DM011,1,dm_raw,IT.RACE,DM,RACE,,controlled_term,map_controlled_term,"{""terms"":{""White"":""WHITE"",""Asian"":""ASIAN"",""Black or African American"":""BLACK OR AFRICAN AMERICAN"",""American Indian or Alaska Native"":""AMERICAN INDIAN OR ALASKA NATIVE"",""Multiple"":""MULTIPLE"",""Unknown"":""UNKNOWN""}}",0.91,Source race values map to SDTM RACE controlled terminology; mapping covers all observed values and is required for DM domain.,No uncertainty observed; values in source data align with provided mapping. Verify that no additional race categories appear in future data.,FALSE,model
DM012,1,dm_raw,COUNTRY,DM,COUNTRY,,direct,direct_map,{},0.95,"Source country values (USA, CAN, GBR) are already in ISO 3166-1 alpha-3 format, which is the expected SDTM COUNTRY standard. Direct mapping is appropriate.",Verify that all source country values are present in the observed data and are valid ISO 3166-1 alpha-3 codes.,FALSE,model
DM013,1,dm_raw,PLANNED_ARMCD,DM,ARMCD,,direct,direct_map,{},0.94,"Planned arm codes (PBO, TRT10) are concise and suitable as SDTM ARMCD values. Direct mapping without transformation is appropriate.",Confirm that the arm code values align with the study protocol and ARMCD expected format (typically short character codes).,FALSE,model
DM014,1,dm_raw,PLANNED_ARM,DM,ARM,,direct,direct_map,{},0.9,"Planned arm descriptions (Placebo, Trace Drug 10 mg) are appropriate as SDTM ARM values, which allow descriptive text.",Ensure that the ARM text is consistent with the corresponding ARMCD values and follows sponsor conventions.,FALSE,model
DM015,1,dm_raw,ACTUAL_ARMCD,DM,ACTARMCD,,direct,direct_map,{},0.94,"Actual arm codes (PBO, TRT10) are concise and suitable as SDTM ACTARMCD values. Direct mapping is appropriate.",Confirm that the arm code values align with the study protocol and ACTARMCD expected format.,FALSE,model
DM016,1,dm_raw,ACTUAL_ARM,DM,ACTARM,,direct,direct_map,{},0.9,"Actual arm descriptions (Placebo, Trace Drug 10 mg) are appropriate as SDTM ACTARM values, which allow descriptive text.",Ensure that the ACTARM text is consistent with the corresponding ACTARMCD values and follows sponsor conventions.,FALSE,model
AE001,1,ae_raw,STUDY,AE,STUDYID,,direct,direct_map,{},0.95,Study identifier (TRACE001) maps directly to SDTM STUDYID. This is a standard direct mapping for all domains.,No uncertainty observed. Confirm that the STUDY value is consistent across all records and matches the trial identifier.,FALSE,model
AE003,1,ae_raw,STUDY | PATNUM,AE,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",95,USUBJID由STUDY和PATNUM组合而成，PATNUM可能已包含站点和受试者编号，组合后形成唯一受试者标识。,需确认PATNUM格式是否始终为站点-受试者，以及组合后是否与DM.USUBJID一致。,TRUE,model
AE005,1,ae_raw,IT.AETERM,AE,AETERM,,direct,direct_map,{},99,直接映射原始AE术语到AETERM。,无。,FALSE,model
AE006,1,ae_raw,AEDECOD,AE,AEDECOD,,direct,direct_map,{},98,AEDECOD是已编码的术语，直接映射。,无。,FALSE,model
AE007,1,ae_raw,AEBODSYS,AE,AEBODSYS,,custom,custom_transform,"{""name"":""uppercase""}",90,AEBODSYS需要大写，SDTM中系统器官分类通常大写。,源值可能已经是标准大小写，但大写是安全的。,FALSE,model
AE008,1,ae_raw,IT.AESEV,AE,AESEV,,controlled_term,map_controlled_term,"{""terms"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",100,按标准受控术语映射。,确认SDTM允许值。,FALSE,model
AE009,1,ae_raw,IT.AESER,AE,AESER,,controlled_term,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",100,AESER标准值为Y/N。,无。,FALSE,model
AE010,1,ae_raw,IT.AEREL,AE,AEREL,,controlled_term,map_controlled_term,"{""terms"":{""Probably Related"":""PROBABLE"",""Possibly Related"":""POSSIBLE"",""Unlikely Related"":""UNLIKELY"",""Not Related"":""NOT RELATED""}}",95,映射到AEREL标准术语。,SDTM AEREL允许值可能还需确认，通常也包括'RELATED'，但这里源值无。,TRUE,model
AE011,1,ae_raw,AEOUTCOME,AE,AEOUT,,controlled_term,map_controlled_term,"{""terms"":{""Recovered/Resolved"":""RECOVERED/RESOLVED"",""Recovering/Resolving"":""RECOVERING/RESOLVING"",""Not Recovered/not Resolved"":""NOT RECOVERED/NOT RESOLVED"",""Fatal"":""FATAL"",""Unknown"":""UNKNOWN""}}",95,映射到AEOUT标准值。,源数据中未出现Fatal和Unknown，但映射字典包含以防将来出现。,FALSE,model
AE012,1,ae_raw,IT.AESTDAT,AE,AESTDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",0.95,Source is adverse event start date in character format; AESTDTC is ISO 8601 date. Transform handles known date formats. No missing values observed.,Potential ambiguous date formatting if day and month order varies.,FALSE,model
AE013,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",0.95,"Source is adverse event end date in character format; AEENDTC is ISO 8601 date. Transform handles known date formats. Missing rate 0.25, resulting in null for missing dates, which is acceptable.",Potential ambiguous date formatting if day and month order varies; missing dates are left null.,FALSE,model
AE014,1,ae_raw,IT.AESHOSP,AE,AESHOSP,,controlled_term,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",0.98,Source is Yes/No hospitalization criterion; AESHOSP is expected to be Y/N. Mapping directly via controlled terms.,No uncertainties; values are clearly Yes/No.,FALSE,model
AE015,1,ae_raw,IT.AEENDAT,AE,AEENRF,,custom,custom_transform,"{""name"":""ongoing_if_missing""}",0.7,"AEENRF indicates end relative to reference period; deriving 'ONGOING' from missing end date is plausible. However, the exact codelist for AEENRF must be verified.",The value 'ONGOING' may not match the standard AEENRF codelist; needs confirmation with SDTM implementation guide.,TRUE,model
VS001,1,vs_raw,STUDY,VS,STUDYID,,direct,direct_map,{},0.95,Study identifier is constant 'TRACE001' for the dataset; direct mapping to STUDYID is straightforward.,None.,FALSE,model
VS003,1,vs_raw,STUDY | PATNUM,VS,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",0.9,"USUBJID is typically constructed by combining study and subject identifiers. PATNUM includes site and subject, so combining with STUDY provides unique USUBJID.",Ensure PATNUM format is consistent; separator '-' might produce double hyphens if PATNUM already contains a hyphen.,FALSE,model
VS005,1,vs_raw,VTLD,VS,VSDTC,,date_conversion,to_iso8601_date,"{""formats"":[""dd-mmm-yyyy"",""m/d/y"",""y-m-d""]}",0.95,Source is visit date in character format; VSDTC is ISO 8601 date. Transform handles the observed date format 'dd-mmm-yyyy'.,Potential ambiguous date formatting if other formats appear.,FALSE,model
VS006,1,vs_raw,SUBPOS,VS,VSPOS,,custom,custom_transform,"{""name"":""uppercase""}",0.95,Source body position values are already uppercase; uppercasing ensures consistency and matches VSPOS expected format.,No uncertainties; values are already uppercase.,FALSE,model
VS007,1,vs_raw,INSTANCE,VS,VISIT,,direct,direct_map,{},95,INSTANCE 为访问名称（如 Screening 1、Week 2），直接映射为 SDTM VS.VISIT，符合标准要求。,访问名称需与标准访问计划核对，确保完全一致。,FALSE,model
