mapping_id,candidate_rank,source_dataset,source_variable,target_domain,target_variable,target_value,mapping_type,transform_id,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance
VS103,1,vs_raw,IT.TEMP,VS,VSSTRESN,,direct,direct_map,{},0.95,Numeric temperature values are stored directly as the standardized numeric result in VSSTRESN.,"Unit (e.g., °C) is not captured by this mapping; VSTESTCD and VSTEST must be populated via constant mapping.",FALSE,model
VS103,2,vs_raw,IT.TEMP,VS,VSORRES,,direct,direct_map,{},0.85,The original temperature result must be retained as a character value in VSORRES for source data representation.,Source value may need conversion to character; unit and test code are not included.,FALSE,model
VS103,3,vs_raw,IT.TEMP,VS,VSSTRESC,,direct,direct_map,{},0.5,"If a character-standardized result is needed, VSSTRESC can hold the temperature value, but it is redundant for numeric data.",Typically VSSTRESC is not required for numeric findings; may represent formatting inconsistencies.,TRUE,model
VS104,1,vs_raw,SYS_BP,VS,VSSTRESN,,direct,direct_map,{},0.95,Systolic blood pressure values are numeric and map directly to the standardized numeric result in VSSTRESN.,"Unit (e.g., mmHg) and test code must be supplied via other mappings; body position may be captured separately.",FALSE,model
VS104,2,vs_raw,SYS_BP,VS,VSORRES,,direct,direct_map,{},0.85,Preserve the original systolic blood pressure reading as character data in VSORRES.,Potential requirement to convert numeric to character; unit and test code not addressed.,FALSE,model
VS104,3,vs_raw,SYS_BP,VS,VSSTRESC,,direct,direct_map,{},0.5,"If a character standardized result is required, VSSTRESC could store the value, though numeric storage in VSSTRESN is preferred.",Redundant for numeric results; may cause inconsistency if both are populated.,TRUE,model
VS105,1,vs_raw,DIA_BP,VS,VSSTRESN,,direct,direct_map,{},0.95,Diastolic blood pressure is numeric and directly mapped to the standardized numeric result in VSSTRESN.,Unit (mmHg) and VSTESTCD need to be set; position may require mapping from SUBPOS.,FALSE,model
VS105,2,vs_raw,DIA_BP,VS,VSORRES,,direct,direct_map,{},0.85,Original diastolic blood pressure value is retained in VSORRES as raw data.,Need to ensure character representation; unit and test code are separate.,FALSE,model
VS105,3,vs_raw,DIA_BP,VS,VSSTRESC,,direct,direct_map,{},0.5,"Character standardized result may be provided as an alternative, but numeric VSSTRESN is standard.",Not typically needed for numeric findings; possible inconsistency.,TRUE,model
VS106,1,vs_raw,PULSE,VS,VSSTRESN,,direct,direct_map,{},0.95,Pulse rate is numeric and maps directly to the standardized numeric result in VSSTRESN.,"Unit (e.g., beats/min) and test code require separate mapping; position may be relevant.",FALSE,model
VS106,2,vs_raw,PULSE,VS,VSORRES,,direct,direct_map,{},0.85,Original pulse rate is retained in VSORRES as raw data.,May need conversion to character; unit and test code not included.,FALSE,model
VS106,3,vs_raw,PULSE,VS,VSSTRESC,,direct,direct_map,{},0.5,"If a character standardized result is needed, VSSTRESC could be used, though numeric is preferred.",Redundant for numeric findings; potential inconsistency with VSSTRESN.,TRUE,model
