provider,metric,numerator,denominator,denominator_type,note
codex_subagent,stage1_valid_classification,21,21,all_21_concepts,严格结构校验通过。
codex_subagent,stage1_category_chain_correct,8,21,all_21_concepts,第一阶段类别链与金标准一致。
codex_subagent,stage2_valid_candidate,13,21,all_21_concepts,至少有一套通过严格校验的首选方案。
codex_subagent,candidate_category_top1,5,21,all_21_concepts,未通过结构校验或无候选者按未命中计。
codex_subagent,candidate_category_top3,5,21,all_21_concepts,本次每个概念实际只返回一个候选。
codex_subagent,target_set_complete,8,21,all_21_concepts,目标变量集合无遗漏、无多报。
codex_subagent,complete_plan_top1,5,21,all_21_concepts,函数、来源、目标和参数全部一致。
codex_subagent,complete_plan_top3,5,21,all_21_concepts,本次每个概念实际只返回一个候选。
codex_subagent,function_correct_given_category,5,5,validated_candidates_with_correct_category,通过结构校验且类别正确后的条件结果。
codex_subagent,parameter_schema_first_pass,13,13,strictly_validated_candidates,整组被拒绝的原始候选不进入该条件分母。
codex_subagent,expert_accept,5,13,strictly_validated_candidates,金标准事后复核直接接受。
codex_subagent,expert_modify,8,13,strictly_validated_candidates,金标准事后复核修改后接受。
deepseek_v4_flash,experiment_status,,21,all_21_concepts,等待已轮换的新接口密钥，未运行。
