mapping_id,candidate_rank,source_dataset,source_variable,target_domain_recommended,target_variable_recommended,target_value_recommended,mapping_type,transform_id_recommended,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance,target_domain_gold,target_variable_gold,target_value_gold,transform_id_gold,difficulty,correct
DM001,1,dm_raw,STUDY,DM,STUDYID,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,STUDYID,,direct_map,direct,TRUE
DM003,1,dm_raw,STUDY | PATNUM,DM,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,USUBJID,,derive_usubjid,derived,TRUE
DM004,1,dm_raw,PATNUM,DM,SUBJID,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,SUBJID,,direct_map,direct,TRUE
DM005,1,dm_raw,FIRST_DOSE_DT,DM,RFSTDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,RFSTDTC,,to_iso8601_date,date,TRUE
DM006,1,dm_raw,IC_DT,DM,RFICDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,RFICDTC,,to_iso8601_date,date,TRUE
DM017,1,dm_raw,PATNUM,DM,SITEID,,custom,custom_transform,"{""name"":""extract_siteid""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,SITEID,,custom_transform,derived,TRUE
DM007,1,dm_raw,IT.AGE,DM,AGE,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,AGE,,direct_map,direct,TRUE
DM009,1,dm_raw,IT.SEX,DM,SEX,,controlled_term,map_controlled_term,"{""terms"":{""Female"":""F"",""Male"":""M"",""Unknown"":""U""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,SEX,,map_controlled_term,controlled_term,TRUE
DM010,1,dm_raw,IT.ETHNIC,DM,ETHNIC,,controlled_term,map_controlled_term,"{""terms"":{""Hispanic or Latino"":""HISPANIC OR LATINO"",""Not Hispanic or Latino"":""NOT HISPANIC OR LATINO"",""Unknown"":""UNKNOWN"",""Not Reported"":""NOT REPORTED""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,ETHNIC,,map_controlled_term,controlled_term,TRUE
DM011,1,dm_raw,IT.RACE,DM,RACE,,controlled_term,map_controlled_term,"{""terms"":{""White"":""WHITE"",""Asian"":""ASIAN"",""Black or African American"":""BLACK OR AFRICAN AMERICAN"",""American Indian or Alaska Native"":""AMERICAN INDIAN OR ALASKA NATIVE"",""Multiple"":""MULTIPLE"",""Unknown"":""UNKNOWN""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,RACE,,map_controlled_term,controlled_term,TRUE
DM012,1,dm_raw,COUNTRY,DM,COUNTRY,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,COUNTRY,,direct_map,direct,TRUE
DM013,1,dm_raw,PLANNED_ARMCD,DM,ARMCD,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,ARMCD,,direct_map,direct,TRUE
DM014,1,dm_raw,PLANNED_ARM,DM,ARM,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,ARM,,direct_map,direct,TRUE
DM015,1,dm_raw,ACTUAL_ARMCD,DM,ACTARMCD,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,ACTARMCD,,direct_map,direct,TRUE
DM016,1,dm_raw,ACTUAL_ARM,DM,ACTARM,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,DM,ACTARM,,direct_map,direct,TRUE
AE001,1,ae_raw,STUDY,AE,STUDYID,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,STUDYID,,direct_map,direct,TRUE
AE003,1,ae_raw,STUDY | PATNUM,AE,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,USUBJID,,derive_usubjid,derived,TRUE
AE005,1,ae_raw,IT.AETERM,AE,AETERM,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AETERM,,direct_map,direct,TRUE
AE006,1,ae_raw,AEDECOD,AE,AEDECOD,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AEDECOD,,direct_map,direct,TRUE
AE007,1,ae_raw,AEBODSYS,AE,AEBODSYS,,custom,custom_transform,"{""name"":""uppercase""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AEBODSYS,,custom_transform,derived,TRUE
AE008,1,ae_raw,IT.AESEV,AE,AESEV,,controlled_term,map_controlled_term,"{""terms"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AESEV,,map_controlled_term,controlled_term,TRUE
AE009,1,ae_raw,IT.AESER,AE,AESER,,controlled_term,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AESER,,map_controlled_term,controlled_term,TRUE
AE010,1,ae_raw,IT.AEREL,AE,AEREL,,controlled_term,map_controlled_term,"{""terms"":{""Probably Related"":""PROBABLE"",""Possibly Related"":""POSSIBLE"",""Unlikely Related"":""UNLIKELY"",""Not Related"":""NOT RELATED""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AEREL,,map_controlled_term,controlled_term,TRUE
AE011,1,ae_raw,AEOUTCOME,AE,AEOUT,,controlled_term,map_controlled_term,"{""terms"":{""Recovered/Resolved"":""RECOVERED/RESOLVED"",""Recovering/Resolving"":""RECOVERING/RESOLVING"",""Not Recovered/not Resolved"":""NOT RECOVERED/NOT RESOLVED"",""Fatal"":""FATAL"",""Unknown"":""UNKNOWN""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AEOUT,,map_controlled_term,controlled_term,TRUE
AE012,1,ae_raw,IT.AESTDAT,AE,AESTDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AESTDTC,,to_iso8601_date,date,TRUE
AE013,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AEENDTC,,to_iso8601_date,date,TRUE
